something
Accuracy after 22 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 24 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 26 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 28 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 30 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 32 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 34 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 36 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 38 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 40 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 42 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 44 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 46 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 48 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 50 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 52 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 54 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 56 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 58 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 60 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 62 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 64 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 66 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 68 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 70 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 72 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 74 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 76 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 78 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 80 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 82 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 84 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 86 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 88 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 90 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 92 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 94 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 96 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 98 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 100 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 102 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 104 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 106 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 108 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 110 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 112 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 114 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 116 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 118 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 120 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 122 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 124 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 126 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 128 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 130 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 132 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 134 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 136 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 138 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 140 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 142 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 144 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 146 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 148 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 150 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 152 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 154 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 156 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 158 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 160 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 162 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 164 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 166 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 168 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 170 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 172 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 174 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 176 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 178 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 180 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 182 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 184 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 186 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 188 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 190 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 192 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 194 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 196 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 198 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 200 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 202 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 204 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 206 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 208 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 210 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 212 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 214 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 216 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
Accuracy after 218 epochs: Train: 0.189066, Val: 0.190704, Test: 0.195874
