    model = tf.keras.Sequential([
        layers.Conv2D(32, 3, padding='same', kernel_regularizer=regularizers.l2(test['weight_decay']), activation='elu'),
        layers.BatchNormalization(),
        layers.MaxPooling2D(),
        layers.Dropout(0.2),

        layers.Conv2D(64, 3, padding='same', kernel_regularizer=regularizers.l2(test['weight_decay']), activation='elu'),
        layers.BatchNormalization(),
        layers.MaxPooling2D(),
        layers.Dropout(0.3),

        layers.Flatten(),
        #layers.Dense(1024, activation='elu'),
        layers.Dense(num_classes, activation='softmax')
    ])
    data_augmentation = tf.keras.Sequential([
        layers.RandomFlip("horizontal"),
        layers.RandomRotation(0.15),
        layers.Lambda(lambda x: saturate(x, 0.15)),
        layers.Lambda(lambda x: shiney(x, 0.2)),
        layers.Lambda(lambda x: crop(x, 0.9, test['size_x'], test['size_y']))
    ])
something
{'dataset': 'cifar10', 'size_x': 32, 'size_y': 32, 'augment': True, 'epochs': 200, 'batch_size': 128, 'learning_rate': 0.0003, 'weight_decay': 0.0001, 'split': ['train[:80%]', 'train[80%:]', 'test']}
Accuracy after 134 epochs: Train: 0.564875, Val: 0.502200, Test: 0.502400
Accuracy after 136 epochs: Train: 0.620325, Val: 0.539700, Test: 0.535900
Accuracy after 138 epochs: Train: 0.637600, Val: 0.539400, Test: 0.535000
Accuracy after 140 epochs: Train: 0.678725, Val: 0.578300, Test: 0.579300
Accuracy after 142 epochs: Train: 0.679375, Val: 0.569800, Test: 0.564800
Accuracy after 144 epochs: Train: 0.679675, Val: 0.578500, Test: 0.580100
Accuracy after 146 epochs: Train: 0.678375, Val: 0.574000, Test: 0.568500
Accuracy after 148 epochs: Train: 0.665825, Val: 0.576200, Test: 0.582600
Accuracy after 150 epochs: Train: 0.675500, Val: 0.568900, Test: 0.567100
Accuracy after 152 epochs: Train: 0.663425, Val: 0.564100, Test: 0.561300
Accuracy after 154 epochs: Train: 0.666675, Val: 0.559800, Test: 0.556900
Accuracy after 156 epochs: Train: 0.651700, Val: 0.573800, Test: 0.574600
Accuracy after 158 epochs: Train: 0.687475, Val: 0.587500, Test: 0.589000
Accuracy after 160 epochs: Train: 0.683675, Val: 0.577400, Test: 0.576700
Accuracy after 162 epochs: Train: 0.679975, Val: 0.566300, Test: 0.564200
Accuracy after 164 epochs: Train: 0.637450, Val: 0.542700, Test: 0.538200
Accuracy after 166 epochs: Train: 0.683975, Val: 0.581600, Test: 0.581700
Accuracy after 168 epochs: Train: 0.686025, Val: 0.580400, Test: 0.575700
Accuracy after 170 epochs: Train: 0.658275, Val: 0.571700, Test: 0.570700
Accuracy after 172 epochs: Train: 0.654650, Val: 0.555400, Test: 0.559500
Accuracy after 174 epochs: Train: 0.676900, Val: 0.575800, Test: 0.570600
Accuracy after 176 epochs: Train: 0.665300, Val: 0.556800, Test: 0.549800
Accuracy after 178 epochs: Train: 0.694100, Val: 0.570200, Test: 0.572400
Accuracy after 180 epochs: Train: 0.679875, Val: 0.591700, Test: 0.589000
Accuracy after 182 epochs: Train: 0.680075, Val: 0.583600, Test: 0.580600
Accuracy after 184 epochs: Train: 0.664950, Val: 0.567900, Test: 0.567500
Accuracy after 186 epochs: Train: 0.676375, Val: 0.585400, Test: 0.585200
Accuracy after 188 epochs: Train: 0.630050, Val: 0.538900, Test: 0.537400
Accuracy after 190 epochs: Train: 0.694700, Val: 0.599000, Test: 0.595800
Accuracy after 192 epochs: Train: 0.661100, Val: 0.558300, Test: 0.553500
Accuracy after 194 epochs: Train: 0.678425, Val: 0.567100, Test: 0.570500
Accuracy after 196 epochs: Train: 0.648550, Val: 0.549200, Test: 0.550600
Accuracy after 198 epochs: Train: 0.624375, Val: 0.544500, Test: 0.546200
Accuracy after 200 epochs: Train: 0.694775, Val: 0.583600, Test: 0.589300
